ocel:eid,ocel:timestamp,ocel:activity,ocel:type:case:concept:name,ocel:type:org:resource,ocel:type:case:repo
1045,2021-01-22 05:55:36+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/200/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1040,2021-01-22 14:46:15+00:00,mentioned,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['ppfeiff'],['pm4py/pm4py-core']
1041,2021-01-22 14:46:15+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1042,2021-01-22 14:46:15+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1043,2021-01-22 14:46:16+00:00,subscribed,['https://api.github.com/repos/pm4py/pm4py-core/issues/199/timeline'],['ppfeiff'],['pm4py/pm4py-core']
1046,2021-01-22 14:56:06+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/200/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1047,2021-01-22 14:56:06+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/200/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1048,2021-01-24 13:27:13+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['colodenn'],['pm4py/pm4py-core']
1049,2021-01-24 14:54:48+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1050,2021-01-24 15:04:13+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['colodenn'],['pm4py/pm4py-core']
1051,2021-01-25 05:47:16+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1052,2021-01-25 08:34:58+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
1053,2021-01-25 08:34:59+00:00,subscribed,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1054,2021-01-25 08:34:59+00:00,mentioned,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1055,2021-01-25 08:34:59+00:00,subscribed,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['colodenn'],['pm4py/pm4py-core']
1056,2021-01-25 08:34:59+00:00,mentioned,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['colodenn'],['pm4py/pm4py-core']
1005,2021-01-28 14:26:53+00:00,head_ref_restored,['https://api.github.com/repos/pm4py/pm4py-core/issues/193/timeline'],['YJDave'],['pm4py/pm4py-core']
1059,2021-01-28 14:31:31+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/202/timeline'],['YJDave'],['pm4py/pm4py-core']
1060,2021-01-29 07:02:36+00:00,cross-referenced,['https://api.github.com/repos/pm4py/pm4py-core/issues/202/timeline'],['YJDave'],['pm4py/pm4py-core']
1063,2021-01-29 07:02:36+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/203/timeline'],['YJDave'],['pm4py/pm4py-core']
1064,2021-01-29 13:01:35+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/203/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1067,2021-02-01 14:43:31+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/204/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1061,2021-02-01 16:43:28+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/202/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1062,2021-02-01 16:43:28+00:00,merged,['https://api.github.com/repos/pm4py/pm4py-core/issues/202/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1068,2021-02-01 16:45:51+00:00,merged,['https://api.github.com/repos/pm4py/pm4py-core/issues/204/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1069,2021-02-01 16:45:52+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/204/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
